Time,Extension,Load,
17.02,2.04,6.83607,
17.04,2.04199,6.83205,
17.06,2.04404,6.89526,
17.08,2.04643,6.93379,
17.1,2.04911,6.9249,
17.12,2.05184,6.92259,
17.14,2.05433,6.94619,
17.16,2.05651,6.95647,
17.18,2.05866,6.94602,
17.2,2.0611,6.94222,
17.22,2.06377,6.9826,
17.24,2.06644,7.02297,
17.26,2.06895,6.9866,
17.28,2.07114,6.90204,
17.3,2.07308,6.88946,
17.32,2.07515,6.88252,
17.34,2.0776,6.91664,
17.36,2.08031,6.92794,
17.38,2.08304,6.89596,
17.4,2.08552,6.87607,
17.42,2.08769,6.83856,
17.44,2.08987,6.81466,
17.46,2.09232,6.85415,
17.48,2.09496,6.87439,
17.5,2.09761,6.84726,
17.52,2.10013,6.84867,
17.54,2.10233,6.82621,
17.56,2.10431,6.85527,
17.58,2.10643,6.93262,
17.6,2.10891,6.9389,
17.62,2.11161,6.91292,
17.64,2.1143,6.89232,
17.66,2.11672,6.88541,
17.68,2.11886,6.88168,
17.7,2.12105,6.93033,
17.72,2.12355,6.96582,
17.74,2.12623,6.98186,
17.76,2.12888,7.02547,
17.78,2.13134,7.04104,
17.8,2.13347,7.07564,
17.82,2.13543,7.08489,
17.84,2.13757,7.12616,
17.86,2.1401,7.18276,
17.88,2.14285,7.1927,
17.9,2.14554,7.13895,
17.92,2.14796,7.11987,
17.94,2.1501,7.12691,
17.96,2.15231,7.1413,
17.98,2.15481,7.15661,
18,2.15745,7.19536,
18.02,2.16007,7.23651,
18.04,2.16252,7.21251,
18.06,2.16466,7.20009,
18.08,2.16664,7.19796,
18.1,2.16883,7.23612,
18.12,2.1714,7.23197,
18.14,2.17416,7.20045,
18.16,2.17684,7.15963,
18.18,2.17919,7.12606,
18.2,2.18128,7.10015,
18.22,2.18349,7.07687,
18.24,2.18602,7.08805,
18.26,2.18869,7.12599,
18.28,2.19132,7.16608,
18.3,2.19374,7.17464,
18.32,2.19583,7.20292,
18.34,2.19778,7.26867,
18.36,2.19997,7.32534,
18.38,2.20252,7.33584,
18.4,2.20527,7.3182,
18.42,2.20794,7.3099,
18.44,2.21031,7.30803,
18.46,2.21244,7.31804,
18.48,2.21469,7.32848,
18.5,2.21722,7.33444,
18.52,2.21988,7.33954,
18.54,2.22246,7.35521,
18.56,2.22483,7.38897,
18.58,2.22688,7.39139,
18.6,2.22886,7.43835,
